participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,cvcm3gz2,,0,184,183,etfs,Adios,128.200.135.218,2019-01-25 19:31:35.471233+00:00,1,,,713,1,440,-40,8,0,10,2,0,0,8,2,0,0,0,0,0,-2,0,2,20,5,0,0,0,6,0,6,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
2,5p5d3wun,,0,184,183,etfs,Adios,128.200.135.212,2019-01-25 19:31:36.059922+00:00,1,,,573,2,440,0,8,0,0,0,5,30,8,2,0,0,0,0,0,-2,0,0,0,0,0,0,0,6,0,6,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
3,5sfkbrax,,0,184,183,etfs,Adios,128.200.135.214,2019-01-25 19:31:36.287112+00:00,1,,,682,3,440,0,8,0,8,5,2,12,8,2,0,0,0,0,0,-2,0,0,2,23,0,0,0,6,0,6,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
4,66ndl6wq,,0,184,183,etfs,Adios,128.200.135.216,2019-01-25 19:31:39.734961+00:00,1,,,540,4,396,12,2,-1,9,1,1,12,1,8,0,9,3,3,40,-8,0,0,15,1,0,0,0,-7,0,-7,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
5,qto5fhjj,,0,184,183,etfs,Adios,128.200.135.206,2019-01-25 19:31:40.789696+00:00,1,,,422,5,396,54,2,-2,3,3,2,2,0,8,-2,0,0,2,3,-6,0,0,17,20,0,0,0,-6,0,-6,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
6,prd4jg1a,,0,184,183,etfs,Adios,128.200.135.201,2019-01-25 19:31:40.892420+00:00,1,,,589,6,396,0,2,0,8,4,1,30,2,8,0,0,0,4,30,-8,0,0,15,2,0,0,0,-6,0,-6,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
7,roycq20l,,0,184,183,etfs,Adios,128.200.135.199,2019-01-25 19:31:41.653346+00:00,1,,,546,7,280,40,0,0,2,2,0,0,0,0,0,2,2,0,0,0,10,-2,2,2,2,4,0,0,0,0,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
8,sp2tp47u,,0,184,183,etfs,Adios,128.200.135.209,2019-01-25 19:31:47.045126+00:00,1,,,497,8,280,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,5,10,0,0,0,0,0,0,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
9,ito06f9g,,0,184,183,etfs,Adios,128.200.135.208,2019-01-25 19:31:50.274960+00:00,1,,,595,9,280,-66,0,3,15,3,0,0,3,0,2,15,3,0,0,-2,10,0,0,0,0,0,0,1,0,1,0,1,12,15,27,12,3,1,15,2,-1,20,2,0,1,1,h8jbztbi
1,cvcm3gz2,,0,184,183,etfs,Adios,128.200.135.218,2019-01-25 19:31:35.471233+00:00,1,,,713,1,400,0,8,0,12,2,0,0,-8,2,0,14,2,0,0,-2,2,0,18,2,0,0,-4,-8,0,-14,0,1,15,15,30,15,4,-1,0,0,-1,25,2,-2,2,2,h8jbztbi
