participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,u8190wh3,,0,183,183,etfs,Adios,128.200.135.218,2019-04-03 22:25:05.849976+00:00,1,,,694,1,440,0,8,0,0,0,8,11,8,2,0,17,25,0,0,2,0,0,0,0,0,0,0,10,0,10,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
2,clazzj8w,,0,184,183,etfs,Adios,128.200.135.216,2019-04-03 22:25:06.652917+00:00,1,,,581,2,440,0,8,0,0,0,2,25,8,2,0,10,2,0,0,2,0,0,10,3,0,0,0,10,0,10,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
3,xxtk8y8s,,0,184,183,etfs,Adios,128.200.135.208,2019-04-03 22:25:07.695344+00:00,1,,,582.8,3,440,30.03,8,-3,0,0,3,6,5,2,0,10,2,0,0,2,0,0,10,2,0,0,0,7,0,7,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
4,ugdc0p59,,0,184,183,etfs,Adios,128.200.135.212,2019-04-03 22:25:08.189545+00:00,1,,,553.8,4,396,10.01,2,-1,0,0,1,0,1,8,0,5,1,0,10,8,0,0,0,0,0,0,0,9,0,9,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
5,xjtlgivv,,0,184,183,etfs,Adios,128.200.135.201,2019-04-03 22:25:11.697726+00:00,1,,,626.8,5,396,0,2,0,10,2,0,0,2,8,0,0,0,0,0,8,0,0,10,2,0,0,0,10,0,10,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
6,fgs7p008,,0,184,183,etfs,Adios,128.200.135.209,2019-04-03 22:25:11.916651+00:00,1,,,698.5,6,396,0,2,0,0,0,0,0,2,8,0,3,2,0,0,8,0,0,0,0,0,0,0,10,0,10,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
7,47jwsets,,0,184,183,etfs,Adios,128.200.135.206,2019-04-03 22:25:12.733295+00:00,1,,,584,7,280,-60.05,0,4,10.01,5,0,0,4,0,0,11.01,10,0,0,0,10,1,20.01,5,5,21.99,22,26,0,26,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
8,zortsr8d,,0,183,183,etfs,Adios,128.200.135.199,2019-04-03 22:25:13.091782+00:00,1,,,578,8,280,0,0,0,5,2,0,0,0,0,0,5,2,0,0,0,10,0,0,0,0,0,20,20,0,20,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
9,7fm4yn87,,0,184,183,etfs,Adios,128.200.135.214,2019-04-03 22:25:15.038124+00:00,1,,,579.2,9,280,20.01,0,0,2,1,0,0,0,0,0,2,1,0,0,0,10,-1,1,1,1,3,18,18,0,18,0,1,10.01,0,10.01,10.01,4,1,0,0,1,20.01,1,2,1,1,pbsjqd7g
1,u8190wh3,,0,183,183,etfs,Adios,128.200.135.218,2019-04-03 22:25:05.849976+00:00,1,,,694,1,440,42.07,8,-6,0,0,8,10.01,-2,2,1,17.99,20,0,0,3,0,0,0,0,0,0,0,11,0,1,0,1,10.01,17.99,28,10.01,6,-1,17.99,1,1,20.02,1,0,2,2,pbsjqd7g
