participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,440,-240,8,0,0,0,6,50,8,2,8,30,10,0,0,-10,0,0,,,,,0,-2,0,-2,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,440,30,8,-3,0,0,8,10,5,2,0,18,2,0,0,-2,0,0,,,,,0,3,0,3,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,440,30,8,-3,8,3,3,9,5,2,0,8,3,0,0,-2,0,0,,,,,0,3,0,3,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,396,-20,2,2,50,2,0,0,4,8,0,0,0,3,50,-8,0,0,,,,,0,-4,0,-4,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,396,-100,2,10,18,10,0,0,12,8,0,2,15,0,0,-8,0,0,,,,,0,4,0,4,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,396,30,2,0,0,0,0,0,2,8,-1,0,0,1,4,-7,0,0,,,,,0,-5,0,-5,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,280,40,10,-1,2,1,1,4,9,10,-1,2,1,1,3,-9,0,0,,,,,0,0,0,0,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,280,230,10,-5,1,5,5,2,5,10,-6,1,6,6,2,-4,0,0,,,,,0,1,0,1,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,280,0,10,0,1,1,0,0,10,10,0,1,1,0,0,-10,0,0,,,,,0,0,0,0,0,1,10,30,40,10,12,1,30,8,-1,0,,0,1,1,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,200,-40,8,0,10,5,3,30,8,10,2,30,2,4,50,-12,0,0,,,,,0,-6,0,-4,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,470,50,5,-5,0,0,5,10,0,2,0,18,6,0,0,-2,0,0,,,,,0,1,0,-2,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,470,0,5,0,10,3,3,11,5,2,0,15,3,1,25,-2,0,0,,,,,0,6,0,3,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,376,-50,4,1,20,1,1,30,5,8,2,40,2,0,0,-10,0,0,,,,,0,-9,0,-5,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,296,0,12,0,8,10,0,0,12,8,0,2,15,0,0,-8,0,0,,,,,0,8,0,4,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,426,-20,2,2,15,2,0,0,4,7,0,0,0,1,35,-7,0,0,,,,,0,-8,0,-3,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,320,0,9,0,6,6,3,20,9,9,0,0,0,0,0,-9,0,0,,,,,0,0,0,0,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,510,20,5,2,10,10,2,14,7,4,-2,10,10,2,15,-2,0,0,,,,,0,6,0,5,0,1,10,20,30,10,5,1,20,4,-1,0,,0,2,2,pnbcdmga,,,,,,1
