participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,440,0,8,0,0,0,2,600,8,2,0,10,20,0,0,-2,0,0,,,,,0,6,0,6,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,440,20,8,0,1,1,1,50,8,2,-1,0,0,1,20,-1,0,0,,,,,0,7,0,7,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
3,uzttu9ej,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-29 21:23:21.588624+00:00,1,,,434,3,440,20,8,-1,0,0,1,20,7,2,0,10,2,0,0,-2,0,0,,,,,0,5,0,5,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
4,0q7oottc,,0,183,183,etfs2,Adios,128.200.135.214,2019-04-29 21:23:21.899657+00:00,1,,,728.5,4,396,0,2,0,1,2,0,0,2,8,0,0,0,0,0,-8,0,0,,,,,0,-6,0,-6,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
5,yianhay9,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-29 21:23:23.978623+00:00,1,,,614,5,396,-20,2,1,20,1,0,0,3,8,0,0,0,1,30,-8,0,0,,,,,0,-5,0,-5,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
6,62etvc0a,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-29 21:23:24.940815+00:00,1,,,738.5,6,396,40,2,-1,6,5,1,15,1,8,-1,4,2,1,12,-7,0,0,,,,,0,-6,0,-6,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
7,m68xfwrf,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-29 21:23:26.440489+00:00,1,,,643,7,280,0,10,0,10,2,0,0,10,10,0,0,0,2,30,-10,0,0,,,,,0,0,0,0,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
8,bx4g6wve,,0,183,183,etfs2,Adios,128.200.135.209,2019-04-29 21:23:26.935323+00:00,1,,,396,8,280,-100,10,2,20,3,0,0,12,10,3,20,3,0,0,-13,0,0,,,,,0,-1,0,-1,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
9,z9pkppoa,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-29 21:23:27.347626+00:00,1,,,812,9,280,40,10,-1,0,0,1,10,9,10,-1,0,0,1,20,-9,0,0,,,,,0,0,0,0,0,1,20,20,40,20,3,1,20,3,-1,0,,0,1,1,06g2niti
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,440,-60,8,0,0,0,3,40,-8,2,3,30,3,0,0,5,0,0,,,,,0,3,0,-3,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,460,0,8,0,0,0,1,100,-8,1,0,0,0,0,0,1,0,0,,,,,0,0,0,-7,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
3,uzttu9ej,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-29 21:23:21.588624+00:00,1,,,434,3,460,-40,7,0,0,0,0,0,-7,2,2,20,2,0,0,4,0,0,,,,,0,2,0,-3,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
4,0q7oottc,,0,183,183,etfs2,Adios,128.200.135.214,2019-04-29 21:23:21.899657+00:00,1,,,728.5,4,396,20,2,0,15,2,1,25,-2,8,-1,0,0,1,15,7,0,0,,,,,0,-1,0,5,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
5,yianhay9,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-29 21:23:23.978623+00:00,1,,,614,5,376,-20,3,1,20,1,0,0,-4,8,0,0,0,2,20,8,0,0,,,,,0,-1,0,4,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
6,62etvc0a,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-29 21:23:24.940815+00:00,1,,,738.5,6,436,0,1,0,17,3,1,25,-1,7,0,12,1,1,22,7,0,0,,,,,0,0,0,6,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
7,m68xfwrf,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-29 21:23:26.440489+00:00,1,,,643,7,280,0,10,0,0,0,2,40,-10,10,0,0,0,0,0,10,0,0,,,,,0,0,0,0,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
8,bx4g6wve,,0,183,183,etfs2,Adios,128.200.135.209,2019-04-29 21:23:26.935323+00:00,1,,,396,8,180,80,12,0,20,8,0,0,-12,13,-4,0,0,4,20,9,0,0,,,,,0,-4,0,-3,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
9,z9pkppoa,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-29 21:23:27.347626+00:00,1,,,812,9,320,20,9,-1,0,0,1,15,-8,9,0,0,0,0,0,9,0,0,,,,,0,1,0,1,0,1,20,20,40,20,1,-1,20,5,1,0,,0,2,2,06g2niti
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,380,-60,8,0,0,0,0,0,8,5,3,25,3,0,0,-8,0,0,,,,,0,3,0,0,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,460,5,8,-1,0,0,1,20,7,1,1,20,1,0,0,-2,0,0,,,,,0,5,0,5,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
3,uzttu9ej,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-29 21:23:21.588624+00:00,1,,,434,3,420,-50,7,2,25,2,0,0,9,4,0,0,0,0,0,-4,0,0,,,,,0,7,0,5,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
4,0q7oottc,,0,183,183,etfs2,Adios,128.200.135.214,2019-04-29 21:23:21.899657+00:00,1,,,728.5,4,416,0,2,0,21,1,0,0,2,7,0,0,0,1,30,-7,0,0,,,,,0,-6,0,-5,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
5,yianhay9,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-29 21:23:23.978623+00:00,1,,,614,5,356,65,4,-1,0,0,1,20,3,8,-2,0,0,2,20,-6,0,0,,,,,0,-4,0,-3,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
6,62etvc0a,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-29 21:23:24.940815+00:00,1,,,738.5,6,436,-65,1,1,25,3,1,27,2,7,2,25,2,1,30,-9,0,0,,,,,0,-7,0,-7,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
7,m68xfwrf,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-29 21:23:26.440489+00:00,1,,,643,7,280,0,10,0,20,5,0,0,10,10,0,0,0,0,0,-10,0,0,,,,,0,0,0,0,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
8,bx4g6wve,,0,183,183,etfs2,Adios,128.200.135.209,2019-04-29 21:23:26.935323+00:00,1,,,396,8,260,80,12,0,20,4,0,0,12,9,-4,0,0,4,13,-5,0,0,,,,,0,3,0,7,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
9,z9pkppoa,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-29 21:23:27.347626+00:00,1,,,812,9,340,25,8,-1,0,0,1,20,7,9,0,10,1,0,0,-9,0,0,,,,,0,-1,0,-2,0,1,25,20,45,25,3,1,20,6,-1,0,,0,3,3,06g2niti
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,320,-160,8,2,30,5,0,0,-10,8,5,30,5,0,0,13,0,0,,,,,0,6,0,3,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,465,50,7,-1,0,0,1,30,-6,2,-1,5,1,1,20,1,0,0,,,,,0,0,0,-5,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
3,uzttu9ej,,0,184,183,etfs2,Adios,128.200.135.208,2019-04-29 21:23:21.588624+00:00,1,,,434,3,370,0,9,0,0,0,0,0,-9,4,0,0,0,1,25,4,0,0,,,,,0,2,0,-5,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
4,0q7oottc,,0,183,183,etfs2,Adios,128.200.135.214,2019-04-29 21:23:21.899657+00:00,1,,,728.5,4,416,20,2,0,25,1,0,0,-2,7,-1,0,0,1,20,6,0,0,,,,,0,-2,0,4,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
5,yianhay9,,0,184,183,etfs2,Adios,128.200.135.199,2019-04-29 21:23:23.978623+00:00,1,,,614,5,421,0,3,0,0,0,0,0,-3,6,0,0,0,0,0,6,0,0,,,,,0,-1,0,3,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
6,62etvc0a,,0,184,183,etfs2,Adios,128.200.135.218,2019-04-29 21:23:24.940815+00:00,1,,,738.5,6,371,30,2,-1,15,1,1,24,-1,9,0,0,0,1,25,9,0,0,,,,,0,1,0,8,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
7,m68xfwrf,,0,184,183,etfs2,Adios,128.200.135.212,2019-04-29 21:23:26.440489+00:00,1,,,643,7,280,60,10,0,20,1,0,0,-10,10,-3,0,0,4,20,7,0,0,,,,,0,-3,0,-3,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
8,bx4g6wve,,0,183,183,etfs2,Adios,128.200.135.209,2019-04-29 21:23:26.935323+00:00,1,,,396,8,340,0,12,0,0,0,0,0,-12,5,0,0,0,0,0,5,0,0,,,,,0,-4,0,-7,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
9,z9pkppoa,,0,184,183,etfs2,Adios,128.200.135.201,2019-04-29 21:23:27.347626+00:00,1,,,812,9,365,0,7,0,0,0,0,0,-7,9,0,10,1,0,0,9,0,0,,,,,0,1,0,2,0,1,30,20,50,30,2,-1,20,5,1,0,,0,4,4,06g2niti
1,wnjq1gbq,,0,184,183,etfs2,Adios,128.200.135.216,2019-04-29 21:23:19.281797+00:00,1,,,495.5,1,160,-45,10,2,35.01,2,0,0,-12,13,0,25.01,3,0,0,13,0,0,,,,,0,7,0,1,0,1,22.5,34,56.5,22.5,3,-1,34,5,1,0,,0,5,5,06g2niti
2,91isu7d7,,0,184,183,etfs2,Adios,128.200.135.206,2019-04-29 21:23:21.178644+00:00,1,,,817.5,2,515,0,6,0,0,0,1,35,-6,1,0,20,1,0,0,1,0,0,,,,,0,-5,0,-5,0,1,22.5,34,56.5,22.5,3,-1,34,5,1,0,,0,5,5,06g2niti
