participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,440,0,8,0,0,0,0,0,-8,2,0,0,0,0,0,2,0,0,,,,,0,-6,-6,-6,-6,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,440,65,8,-2,2,2,2,2,-6,2,-2,2,2,2,2,0,0,0,,,,,0,-6,-6,-6,-6,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,440,-118,8,0,0,0,4,200,-8,2,4,50,4,0,0,6,0,0,,,,,0,-2,-2,-2,-2,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,396,-295,2,0,0,10,2,40,-2,8,10,39,10,2,100,18,0,0,,,,,0,16,16,16,16,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,396,26.5,2,1,10,1,1,15,-3,8,-1,5,1,1,8,7,0,0,,,,,0,4,4,4,4,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,396,79.5,2,3,20,3,0,0,-5,8,-3,0,0,3,20,5,0,0,,,,,0,0,0,0,0,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,280,162.5,10,-5,0,0,5,0,-5,10,-5,0,0,5,0,5,0,0,,,,,0,0,0,0,0,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,280,53,10,2,4,2,2,4,-12,10,-2,4,2,2,4,8,0,0,,,,,0,-4,-4,-4,-4,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,280,26.5,10,1,9,1,1,10,-11,10,-1,17,1,1,18,9,0,0,,,,,0,-2,-2,-2,-2,1,3,29.5,32.5,3,7,-1,29.5,14,1,0,,0,1,1,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,440,0,8,0,0,0,0,0,8,2,0,0,0,0,0,-2,0,0,,,,,0,0,0,6,6,1,10,17,27,10,3,1,17,1,-1,0,,0,2,2,l60a9yvg,,,,,,1
