participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,440,0,8,0,0,0,0,0,8,2,0,0,0,0,0,-2,0,0,,,,,0,6,0,6,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,440,-30,8,0,0,0,1,20,8,2,2,20,2,0,0,-4,0,0,,,,,0,4,0,4,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,440,25,8,-1,10,2,3,9,7,2,-1,10,2,1,11,-1,0,0,,,,,0,6,0,6,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,396,-75,2,3,10,10,1,50,5,8,3,20,3,3,50,-11,0,0,,,,,0,-6,0,-6,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,396,30,2,0,7,7,0,0,2,8,-2,0,0,3,15,-6,0,0,,,,,0,-4,0,-4,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,396,25,2,-1,1,10,1,10,1,8,-1,1,10,1,10,-7,0,0,,,,,0,-6,0,-6,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,280,25,10,-1,4,2,1,3,9,10,-1,2,1,1,1,-9,0,0,,,,,0,0,0,0,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,280,0,10,0,5,2,1,28,10,10,0,3,2,2,30,-10,0,0,,,,,0,0,0,0,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,280,0,10,0,9,1,0,0,10,10,0,9,1,0,0,-10,0,0,,,,,0,0,0,0,0,1,10,15,25,10,5,1,15,5,-1,0,,0,1,1,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,440,0,8,0,0,0,1,50,8,2,0,15.5,10,0,0,-2,0,0,,,,,0,12,0,6,0,1,10.5,16,26.5,10.5,2,1,16,5,-1,0,,0,2,2,odwd4238
