"","participant.id_in_session","session.code","participant.payoff","player.id_in_group","player.cash","player.delta_cash","player.n_a","player.t_a","player.bida","player.nbida","player.naska","player.aska","player.di_a","player.n_b","player.t_b","player.bidb","player.nbidb","player.naskb","player.askb","player.di_b","player.n_c","player.t_c","player.bidc","player.nbidc","player.naskc","player.askc","player.di_c","player.cum_payoff","player.cum_payoff_topay","player.pay_display","player.payoff","group.id_in_subsession","group.nav_a","group.nav_b","group.nav","group.p_a","group.q_a","group.d_a","group.p_b","group.q_b","group.d_b","group.p_c","group.q_c","group.d_c","subsession.round_number","subsession.ronda","tre","session","type","active_a","active_b","active_c","ids","portab","portype.a","portype.b","portype.c","player.boxes_collected","uses","fva","fvb","fvc"
"1",1,"06g2niti",495.5,1,440,0,8,0,0,0,2,600,8,2,0,10,20,0,0,-2,0,0,NA,NA,NA,NA,0,6,0,6,0,1,20,20,40,20,3,1,20,3,-1,NA,NA,0,1,1,0,2105,0,2,20,NA,210501,6,6,0,0,90,121050,10,18,28
"2",1,"06g2niti",495.5,1,0.5,0,14,0,0,0,0,0,-14,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,117,117,18,18,1,7.5,20,27.5,7.5,2,-1,20,2,2,NA,NA,0,28,13,0,2105,0,0,0,NA,210528,2,2,0,0,90,121051,10,13,23
"3",1,"06g2niti",495.5,1,15.5,0,11,0,0,0,11,15,11,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,68,68,11,11,1,5,25,30,5,4,1,25,2,0,NA,NA,0,25,10,0,2105,0,11,0,NA,210525,5,5,0,0,90,121051,10,16,26
"4",1,"06g2niti",495.5,1,22.5,0,13,0,22.5,1,0,0,13,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,93,0,13,0,1,20,100,120,NA,0,1,100,1,0,NA,NA,0,13,13,0,2105,0,1,0,NA,210513,3,3,0,0,90,121050,10,13,23
"5",1,"06g2niti",495.5,1,22.5,0,13,0,22.5,1,0,0,13,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,80,0,13,0,1,20,35,55,NA,0,1,35,1,0,NA,NA,0,12,12,0,2105,0,1,0,NA,210512,3,3,0,0,90,121050,10,14,24
"6",1,"06g2niti",495.5,1,22.5,0,13,0,0,0,0,0,-13,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,443.5,0,331.5,0,1,100,50,150,NA,0,-1,50,1,2,NA,NA,0,15,15,0,2105,0,0,0,NA,210515,3,3,0,0,90,121050,10,11,21
"7",1,"06g2niti",495.5,1,15.5,0,11,0,0,0,11,20,-11,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,57,57,21,21,1,15,50,65,15,5,-1,50,3,2,NA,NA,0,24,9,0,2105,0,11,0,NA,210524,5,5,0,0,90,121051,10,17,27
"8",1,"06g2niti",495.5,1,5.5,-5,13,1,5.5,1,0,0,-14,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,99,99,18,18,1,5,20,25,5,6,-1,NA,0,2,NA,NA,0,27,12,0,2105,0,1,0,NA,210527,2,2,0,0,90,121051,10,14,24
"9",1,"06g2niti",495.5,1,22.5,0,13,0,22.5,1,0,0,-13,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,112,0,19,0,1,100,100,200,100,1,-1,NA,0,2,NA,NA,0,14,14,0,2105,0,1,0,NA,210514,3,3,0,0,90,121050,10,12,22
"10",1,"06g2niti",495.5,1,440,-60,8,0,0,0,3,40,-8,2,3,30,3,0,0,5,0,0,NA,NA,NA,NA,0,3,0,-3,0,1,20,20,40,20,1,-1,20,5,1,NA,NA,0,2,2,0,2105,0,3,3,NA,210502,3,3,0,0,90,121050,10,18,28
"11",1,"06g2niti",495.5,1,0.5,0,14,0,0,0,0,0,-14,16,0,0,0,0,0,32,0,0,NA,NA,NA,NA,0,135,135,18,18,1,10,14,24,10,3,-1,14,3,2,NA,NA,0,29,14,0,2105,0,0,0,NA,210529,2,2,0,0,90,121051,10,12,22
"12",1,"06g2niti",495.5,1,15.5,-10,11,2,7.75,2,0,0,13,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,81,81,13,13,1,5,20,25,5,3,1,20,2,0,NA,NA,0,26,11,0,2105,0,2,0,NA,210526,3,3,0,0,90,121051,10,15,25
