"","session.code","group.nav_a","group.nav_b","group.nav","group.p_a","group.q_a","group.d_a","group.p_b","group.q_b","group.d_b","group.p_c","group.q_c","group.d_c","subsession.round_number","subsession.ronda","player.nbida","player.naska","player.nbidb","player.naskb","player.nbidc","player.naskc","player.n_a","player.n_b","player.t_a","player.t_b","participant.id_in_session","tre","session","type","active_a","active_b","active_c","ids","portab","portype.a","portype.b","portype.c","Group.1","player.boxes_collected","uses","fva","fvb","fvc"
"1",NA,8,17,25,8,8,1,17,7,-1,NA,NA,0,1,1,18.7777777777778,2.33333333333333,6.44444444444444,2.22222222222222,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,190,78,NA,200101,3.55555555555556,1.88888888888889,1.44444444444444,0.222222222222222,NA,36.3333333333333,20010,10,18,28
"2",NA,8,17,25,NA,0,-1,17,9,1,NA,NA,0,2,2,5.33333333333333,1.77777777777778,4.66666666666667,1.77777777777778,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,64,58,NA,200102,3.77777777777778,2.66666666666667,0.888888888888889,0.222222222222222,NA,36.3333333333333,20010,10,18,28
"3",NA,9,18,27,9,7,-1,18,8,-1,NA,NA,0,3,3,6,2.44444444444444,6.55555555555556,1.11111111111111,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,76,69,NA,200103,5.33333333333333,3.66666666666667,0.222222222222222,1.44444444444444,NA,36.3333333333333,20010,10,18,28
"4",NA,10,18,28,10,21,1,18,4,1,NA,NA,0,4,4,7,4.11111111111111,4.88888888888889,1.55555555555556,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,100,58,NA,200104,9.33333333333333,3.33333333333333,2.44444444444444,3.55555555555556,NA,36.3333333333333,20010,10,18,28
"5",NA,10,19,29,10,3,1,19,5,-1,NA,NA,0,5,5,8.55555555555556,3.33333333333333,3.55555555555556,2.33333333333333,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,107,53,NA,200105,9.77777777777778,3,2.55555555555556,4.22222222222222,NA,36.3333333333333,20010,10,18,28
"6",NA,10,19,29,10,12,1,19,13,-1,NA,NA,0,6,6,9,3.77777777777778,3.11111111111111,2.33333333333333,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,115,49,NA,200106,7.33333333333333,2.88888888888889,1.66666666666667,2.77777777777778,NA,36.3333333333333,20010,10,18,28
"7",NA,9,18,27,9,22,-1,18,9,1,NA,NA,0,7,7,12.5555555555556,4.22222222222222,1.66666666666667,2,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,151,33,NA,200107,6.88888888888889,2.88888888888889,0.444444444444444,3.55555555555556,NA,36.3333333333333,20010,10,18,28
"8",NA,9,17,26,9,8,1,17,5,0,NA,NA,0,8,8,8,4.11111111111111,1.55555555555556,1.66666666666667,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,109,29,NA,200108,8.22222222222222,3.11111111111111,0.333333333333333,4.77777777777778,NA,36.3333333333333,20010,10,18,28
"9",NA,9,18,27,NA,0,-1,18,13,0,NA,NA,0,9,9,8.55555555555556,2.55555555555556,4.44444444444444,1.44444444444444,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,100,53,NA,200109,10.2222222222222,3.11111111111111,2,5.11111111111111,NA,36.3333333333333,20010,10,17,27
"10",NA,10,17,27,10,1,-1,17,8,2,NA,NA,0,10,10,5.33333333333333,2.88888888888889,2,2.33333333333333,NA,NA,6.66666666666667,6.66666666666667,0,0,5,2,2001,1,74,39,NA,200110,9.77777777777778,3.22222222222222,1.55555555555556,5,NA,36.3333333333333,20010,10,16,26
