participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,440,0,8,0,15,2,0,0,-8,2,0,0,0,1,5,2,0,0,0,0,0,0,0,434,0,434,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,440,-23,8,1,20,10,5,5,-9,2,1,10,2,1,1,3,0,0,0,0,0,0,0,457,0,457,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,440,23,8,-1,2,1,1,3,-7,2,-1,1,1,1,1,1,0,0,0,0,0,0,0,411,0,411,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,396,-5,2,0,0,0,0,0,-2,8,0,0,0,1,20,8,0,1,25,1,0,0,0,407,0,407,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,396,-10,2,0,0,0,0,0,-2,8,0,0,0,2,18,8,0,2,18,2,0,0,0,412,0,412,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,396,0,2,0,11,4,0,0,-2,8,0,0,0,1,22,8,0,0,0,0,0,0,0,402,0,402,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,280,5,0,0,5,0,0,3,0,0,0,5,0,0,0,0,10,-1,4,2,2,5,0,275,0,275,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,280,10,0,0,1,0,0,1,0,0,0,0,0,0,1,0,10,-2,1,2,2,1,0,270,0,270,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,280,0,280,0,1,20,3,23,20,6,-1,3,2,1,5,3,0,1,1,3qygj8mp
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,440,0,8,0,0,0,1,15,8,2,0,4,2,0,0,-2,0,0,5,2,0,0,0,880,0,446,0,1,10,20,30,10,6,1,20,3,-1,12,4,0,2,2,3qygj8mp
