participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
1,vtg5eziy,,0,184,183,etfs,Adios,128.200.135.199,2019-05-08 22:30:46.035927+00:00,1,,,565.3,1,0,2,8,8,1,24,24,1,1,f5x649d9
2,l394u0e6,,0,184,183,etfs,Adios,128.200.135.216,2019-05-08 22:30:46.441103+00:00,1,,,629,2,0,6,5,40,1,120,120,1,1,f5x649d9
3,7kv1lqwx,,0,183,183,etfs,Adios,128.200.135.218,2019-05-08 22:30:46.486275+00:00,1,,,577.6,3,1,5,9,60,1,0,0,1,1,f5x649d9
4,u33yd0d0,,0,184,183,etfs,Adios,128.200.135.201,2019-05-08 22:30:47.810686+00:00,1,,,558.8,4,1,9,7,75,1,0,0,1,1,f5x649d9
5,1hss14k5,,0,184,183,etfs,Adios,128.200.135.208,2019-05-08 22:30:48.162269+00:00,1,,,690.3,5,0,5,8,48,1,144,144,1,1,f5x649d9
6,flbrpv5x,,0,184,183,etfs,Adios,128.200.135.206,2019-05-08 22:30:48.187612+00:00,1,,,654.7,6,0,8,7,20,1,60,60,1,1,f5x649d9
7,djc4iw5u,,0,183,183,etfs,Adios,128.200.135.212,2019-05-08 22:30:49.062851+00:00,1,,,685.5,7,0,9,2,34,1,102,102,1,1,f5x649d9
8,px2cz7cd,,0,183,183,etfs,Adios,128.200.135.214,2019-05-08 22:30:50.424309+00:00,1,,,604,8,1,7,2,45,1,0,0,1,1,f5x649d9
9,eepbbhy5,,0,184,183,etfs,Adios,128.200.135.209,2019-05-08 22:30:51.107802+00:00,1,,,633,9,1,8,1,60,1,0,0,1,1,f5x649d9
1,d2af4q3j,,0,183,183,etfs,Adios,128.200.135.214,2019-05-13 22:27:49.817743+00:00,1,,,945,1,0,6,2,51,1,153,153,1,1,cu5g7iza
2,x43qm99u,,0,183,183,etfs,Adios,128.200.135.199,2019-05-13 22:27:50.679404+00:00,1,,,633,2,0,7,1,15,1,45,45,1,1,cu5g7iza
3,yilitp9y,,0,184,183,etfs,Adios,128.200.135.201,2019-05-13 22:27:51.996089+00:00,1,,,584,3,1,4,4,50,1,0,0,1,1,cu5g7iza
4,kmtpki4s,,0,184,183,etfs,Adios,128.200.135.218,2019-05-13 22:27:52.100791+00:00,1,,,609.5,4,1,6,2,55,1,0,0,1,1,cu5g7iza
5,5tjxnc3i,,0,183,183,etfs,Adios,128.200.135.208,2019-05-13 22:27:52.406799+00:00,1,,,891,5,1,2,10,50,1,0,0,1,1,cu5g7iza
6,h7nv1uec,,0,184,183,etfs,Adios,128.200.135.206,2019-05-13 22:27:52.543450+00:00,1,,,575.5,6,0,2,2,25,1,75,75,1,1,cu5g7iza
7,fju5wxpa,,0,184,183,etfs,Adios,128.200.135.216,2019-05-13 22:27:52.878625+00:00,1,,,416,7,1,9,6,25,1,0,0,1,1,cu5g7iza
8,xc55n0wh,,0,183,183,etfs,Adios,128.200.135.209,2019-05-13 22:27:54.580790+00:00,1,,,437.5,8,1,7,8,50,1,0,0,1,1,cu5g7iza
9,z8z5rcxe,,0,184,183,etfs,Adios,128.200.135.212,2019-05-13 22:27:56.309588+00:00,1,,,368.5,9,0,8,5,13,1,39,39,1,1,cu5g7iza
